CVIL1;CPAYS1;VIL1;CVIL2;CPAYS2;VIL2;NBPA2000;DKM
SEA;UNST;SEATTLE;TYO;JAPN;TOKYO **;442 291;7 708
HAM;GERF;HAMBURG;STR;GERF;STUTTGART;442 090;553
MIA;UNST;MIAMI **;SCL;CHIL;SANTIAGO DE CHILE;440 854;6 672
LON;UNKG;LONDON **;LPA;SPNA;LAS PALMAS;440 562;2 869
MKC;UNST;KANSAS CITY;WAS;UNST;WASHINGTON **;439 470;1 496
ATL;UNST;ATLANTA;CLE;UNST;CLEVELAND;438 852;892
LCG;SPAN;LA CORUNA;MAD;SPAN;MADRID **;438 389;512
ATH;GREC;ATHENS;ROM;ITAL;ROMA **;437 205;1 071
ATL;UNST;ATLANTA;SLC;UNST;SALT LAKE CITY;436 740;2 550
BCN;SPAN;BARCELONA;MIL;ITAL;MILANO **;436 728;730
LAS;UNST;LAS VEGAS;TUS;UNST;TUCSON;435 316;587
AKL;NEWZ;AUCKLAND;MEL;ASTL;MELBOURNE **;435 309;2 630
BWI;UNST;BALTIMORE;JAX;UNST;JACKSONVILLE;435 250;1 072
AMS;NETH;AMSTERDAM;MUC;GERF;MUNICH;435 245;676
BWI;UNST;BALTIMORE;MSY;UNST;NEW ORLEANS;433 958;1 606
LAX;UNST;LOS ANGELES **;TPA;UNST;TAMPA, FL **;433 460;3 464
ATL;UNST;ATLANTA;FRA;GERF;FRANKFURT;433 401;7 404
BRU;BELG;BRUSSELS;PAR;FRAN;PARIS **;432 514;284
ORL;UNST;ORLANDO;SEA;UNST;SEATTLE;432 424;4 091
ATL;UNST;ATLANTA;PAR;FRAN;PARIS **;432 012;7 050
BCN;SPAN;BARCELONA;MAH;SPAN;MAHON;432 002;242
BUF;UNST;BUFFALO;ORL;UNST;ORLANDO;431 688;1 617
FLL;UNST;FORT LAUDERDALE;NAS;BAHM;NASSAU;431 151;293
BOS;UNST;BOSTON;SJC;UNST;SAN JOSE;430 272;4 314
DAL;UNST;DALLAS **;LON;UNKG;LONDON **;430 192;7 601
MIA;UNST;MIAMI **;SFO;UNST;SAN FRANCISCO;428 856;4 152
FRA;GERF;FRANKFURT;LIS;PORT;LISBON;428 758;1 873
FMO;GERF;MUNSTER;PMI;SPAN;PALMA DE MALLORCA;428 541;1 428
AMS;NETH;AMSTERDAM;VIE;AUST;VIENNA;428 241;954
GLA;UNKG;GLASGOW **;LTN;UNKG;LUTON;428 033;516
CUN;MEXC;CANCUN;DAL;UNST;DALLAS **;427 474;1 664
CUN;MEXC;CANCUN;HOU;UNST;HOUSTON **;426 495;1 305
SMF;UNST;SACRAMENTO;SNA;UNST;ORANGE COUNT;426 062;630
CHI;UNST;CHICAGO **;MHT;UNST;MANCHESTER;425 992;1 333
HOU;UNST;HOUSTON **;OKC;UNST;OKLAHOMA CITY;425 328;675
CHI;UNST;CHICAGO **;SAT;UNST;SAN ANTONIO;423 882;1 680
BRE;GERF;BREMEN;FRA;GERF;FRANKFURT;422 905;336
BWI;UNST;BALTIMORE;ISP;UNST;LONG ISLAND MACARTHUR;422 814;354
SEL;KORR;SEOUL **;TPE;TAIW;TAIPEI;421 645;1 474
